5.0710 	WARNING 	Monitor specification not found. Creating a temporary one...
112.6880 	EXP 	patch_choice onset
113.4568 	DATA 	Keypress: b
113.4875 	EXP 	patch_choice offset
113.4875 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch21.png'
113.4875 	EXP 	fixation_cross onset
114.9875 	EXP 	fixation_cross offset
114.9875 	EXP 	patch_choice onset
116.0453 	DATA 	Keypress: b
116.0710 	EXP 	patch_choice offset
116.0710 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch18.png'
116.0710 	EXP 	fixation_cross onset
117.5710 	EXP 	fixation_cross offset
117.5710 	EXP 	patch_choice onset
118.2068 	DATA 	Keypress: b
118.2374 	EXP 	patch_choice offset
118.2374 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch28.png'
118.2374 	EXP 	fixation_cross onset
119.7373 	EXP 	fixation_cross offset
119.7373 	EXP 	patch_choice onset
120.3805 	DATA 	Keypress: b
120.4040 	EXP 	patch_choice offset
120.4040 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch8.png'
120.4040 	EXP 	fixation_cross onset
121.9041 	EXP 	fixation_cross offset
121.9041 	EXP 	patch_choice onset
122.5240 	DATA 	Keypress: a
122.5542 	EXP 	patch_choice offset
122.5542 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch23.png'
122.5542 	EXP 	fixation_cross onset
124.0535 	EXP 	fixation_cross offset
124.0535 	EXP 	patch_choice onset
124.7061 	DATA 	Keypress: b
124.7369 	EXP 	patch_choice offset
124.7369 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch26.png'
124.7369 	EXP 	fixation_cross onset
126.2396 	EXP 	fixation_cross offset
126.2396 	EXP 	patch_choice onset
127.0438 	DATA 	Keypress: b
127.0703 	EXP 	patch_choice offset
127.0703 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch14.png'
127.0703 	EXP 	fixation_cross onset
128.5700 	EXP 	fixation_cross offset
128.5700 	EXP 	patch_choice onset
129.7059 	DATA 	Keypress: a
129.7366 	EXP 	patch_choice offset
129.7366 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch29.png'
129.7366 	EXP 	fixation_cross onset
131.2368 	EXP 	fixation_cross offset
131.2368 	EXP 	patch_choice onset
131.8564 	DATA 	Keypress: b
131.8868 	EXP 	patch_choice offset
131.8868 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch5.png'
131.8868 	EXP 	fixation_cross onset
133.3865 	EXP 	fixation_cross offset
133.3865 	EXP 	patch_choice onset
134.0896 	DATA 	Keypress: a
134.1197 	EXP 	patch_choice offset
134.1197 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch2.png'
134.1197 	EXP 	fixation_cross onset
135.6199 	EXP 	fixation_cross offset
135.6199 	EXP 	patch_choice onset
136.2901 	DATA 	Keypress: a
136.3026 	EXP 	patch_choice offset
136.3026 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch15.png'
136.3026 	EXP 	fixation_cross onset
137.8038 	EXP 	fixation_cross offset
137.8038 	EXP 	patch_choice onset
138.6220 	DATA 	Keypress: a
138.6527 	EXP 	patch_choice offset
138.6527 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch10.png'
138.6527 	EXP 	fixation_cross onset
140.1530 	EXP 	fixation_cross offset
140.1530 	EXP 	patch_choice onset
140.7588 	DATA 	Keypress: a
140.7863 	EXP 	patch_choice offset
140.7863 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch1.png'
140.7863 	EXP 	fixation_cross onset
142.2870 	EXP 	fixation_cross offset
142.2870 	EXP 	patch_choice onset
142.8893 	DATA 	Keypress: a
142.9191 	EXP 	patch_choice offset
142.9191 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch20.png'
142.9191 	EXP 	fixation_cross onset
144.4193 	EXP 	fixation_cross offset
144.4193 	EXP 	patch_choice onset
146.1558 	DATA 	Keypress: b
146.1858 	EXP 	patch_choice offset
146.1858 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch17.png'
146.1858 	EXP 	fixation_cross onset
147.6862 	EXP 	fixation_cross offset
147.6862 	EXP 	patch_choice onset
148.4098 	DATA 	Keypress: b
148.4356 	EXP 	patch_choice offset
148.4356 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch3.png'
148.4356 	EXP 	fixation_cross onset
149.9357 	EXP 	fixation_cross offset
149.9357 	EXP 	patch_choice onset
150.6213 	DATA 	Keypress: a
150.6524 	EXP 	patch_choice offset
150.6524 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch25.png'
150.6524 	EXP 	fixation_cross onset
152.1526 	EXP 	fixation_cross offset
152.1526 	EXP 	patch_choice onset
153.2047 	DATA 	Keypress: b
153.2354 	EXP 	patch_choice offset
153.2354 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch13.png'
153.2354 	EXP 	fixation_cross onset
154.7355 	EXP 	fixation_cross offset
154.7355 	EXP 	patch_choice onset
156.1052 	DATA 	Keypress: a
156.1354 	EXP 	patch_choice offset
156.1354 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch30.png'
156.1354 	EXP 	fixation_cross onset
157.6356 	EXP 	fixation_cross offset
157.6356 	EXP 	patch_choice onset
158.3209 	DATA 	Keypress: b
158.3516 	EXP 	patch_choice offset
158.3516 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch19.png'
158.3516 	EXP 	fixation_cross onset
159.8519 	EXP 	fixation_cross offset
159.8519 	EXP 	patch_choice onset
160.8246 	DATA 	Keypress: b
160.8520 	EXP 	patch_choice offset
160.8520 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch11.png'
160.8520 	EXP 	fixation_cross onset
162.3521 	EXP 	fixation_cross offset
162.3521 	EXP 	patch_choice onset
